iso3,threshold,score,rank
NOR,0.30000000000000004,0.3945551275087758,188.0
NPL,0.30000000000000004,3.612642755378741,70.0
NRU,0.30000000000000004,0.35461800461609344,190.0
NZL,0.30000000000000004,1.551312962004349,149.0
OMN,0.30000000000000004,3.724354250991834,66.0
PAK,0.30000000000000004,7.020131622342117,5.0
PAN,0.30000000000000004,2.856329133055313,93.0
PER,0.30000000000000004,4.180246932456551,56.0
PHL,0.30000000000000004,5.610349127358854,23.0
PLW,0.30000000000000004,0.39973225203029433,187.0
PNG,0.30000000000000004,5.246842375015589,33.0
POL,0.30000000000000004,0.974833232942631,161.0
PRK,0.30000000000000004,2.588835740660793,100.0
PRT,0.30000000000000004,1.1790964786804712,155.0
PRY,0.30000000000000004,2.7181481474761653,98.0
PSE,0.30000000000000004,1.8302536162167133,135.0
QAT,0.30000000000000004,2.2200446842840384,113.0
ROU,0.30000000000000004,1.784813055094358,138.0
RUS,0.30000000000000004,3.152619955366511,88.0
RWA,0.30000000000000004,3.0325532611041317,89.0
SAU,0.30000000000000004,3.3474703763641025,81.0
SDN,0.30000000000000004,7.096401471236293,4.0
SEN,0.30000000000000004,4.785554113331131,40.0
SGP,0.30000000000000004,1.177162634105477,156.0
SLB,0.30000000000000004,3.189935457128133,86.0
SLE,0.30000000000000004,5.503063791661862,26.0
SLV,0.30000000000000004,3.525489966920172,73.0
SMR,0.30000000000000004,0.5106891453576397,185.0
SOM,0.30000000000000004,7.018718213584951,6.0
SRB,0.30000000000000004,1.7292674901459701,143.0
SSD,0.30000000000000004,6.225196981811817,12.0
STP,0.30000000000000004,1.9976284080003381,121.0
SUR,0.30000000000000004,2.5280845986038996,102.0
SVK,0.30000000000000004,1.0755025661165616,158.0
SVN,0.30000000000000004,0.8440232376478476,170.0
SWE,0.30000000000000004,0.5376269726136705,184.0
SWZ,0.30000000000000004,3.2206059339525357,83.0
SYC,0.30000000000000004,0.7337804416731998,176.0
SYR,0.30000000000000004,3.4896114756136383,76.0
TCD,0.30000000000000004,7.378080985818554,2.0
TGO,0.30000000000000004,4.6409054274479535,42.0
THA,0.30000000000000004,4.278163398903846,54.0
TJK,0.30000000000000004,2.9135672044150347,91.0
TKM,0.30000000000000004,2.4069677206062567,106.0
TLS,0.30000000000000004,3.438042077463734,78.0
TON,0.30000000000000004,1.4065724833335196,153.0
TTO,0.30000000000000004,1.8701071580870818,132.0
TUN,0.30000000000000004,2.563705220085874,101.0
TUR,0.30000000000000004,3.1614156074389297,87.0
TUV,0.30000000000000004,1.030633351557462,159.0
TZA,0.30000000000000004,5.32822216807145,30.0
UGA,0.30000000000000004,4.605737915149091,45.0
UKR,0.30000000000000004,1.960754306005675,122.0
URY,0.30000000000000004,1.925405462490759,127.0
USA,0.30000000000000004,1.9291000695323006,126.0
UZB,0.30000000000000004,3.2146330884231076,84.0
VCT,0.30000000000000004,1.6690595675887137,145.0
VEN,0.30000000000000004,3.7131328763653464,67.0
VNM,0.30000000000000004,5.406025036167476,27.0
VUT,0.30000000000000004,3.55597456749443,71.0
WSM,0.30000000000000004,1.873950802999241,130.0
YEM,0.30000000000000004,5.686738766020577,21.0
ZAF,0.30000000000000004,4.322872809327739,51.0
ZMB,0.30000000000000004,4.466850042147794,48.0
ZWE,0.30000000000000004,4.763787459506874,41.0
AFG,0.4,5.887915324926768,18.0
AGO,0.4,6.067523143926221,13.0
ALB,0.4,1.7485648053391998,141.0
AND,0.4,1.5733393800745914,147.0
ARE,0.4,3.5466362961691926,71.0
ARG,0.4,2.71481950830756,98.0
ARM,0.4,1.6361024258408776,145.0
AUS,0.4,1.1797425843500347,153.0
AUT,0.4,0.9388712635217858,162.0
AZE,0.4,3.365188031764474,78.0
BDI,0.4,3.965882451941944,60.0
BEL,0.4,0.7369983409715936,173.0
BEN,0.4,5.802665853811902,19.0
BFA,0.4,5.305824429071388,31.0
BGD,0.4,5.64075037632106,22.0
BGR,0.4,1.7880145482408165,136.0
BHR,0.4,2.297924527623436,108.0
BHS,0.4,2.4385270338786755,103.0
BIH,0.4,2.002205391991449,119.0
BLR,0.4,0.5630565642233171,181.0
BLZ,0.4,2.8236229857225057,93.0
BOL,0.4,3.7015558364242445,67.0
BRA,0.4,3.503131181215151,73.0
BRB,0.4,1.4191669977502688,151.0
BRN,0.4,0.8844211928497615,167.0
BTN,0.4,2.3441625562917565,106.0
BWA,0.4,3.6538092933621864,68.0
CAF,0.4,5.949218416832423,16.0
CAN,0.4,0.8878938628342326,166.0
CHE,0.4,0.33801001117800256,186.0
CHL,0.4,1.8023286934757479,135.0
CHN,0.4,5.267962988335518,32.0
CIV,0.4,5.132647144193606,34.0
CMR,0.4,5.397995005420832,29.0
COD,0.4,6.239224258267312,11.0
COG,0.4,4.125792133898989,56.0
COL,0.4,4.286401014560442,52.0
COM,0.4,2.4977441814940224,102.0
CPV,0.4,2.039533642014305,117.0
CRI,0.4,1.9147983693605566,127.0
CUB,0.4,3.193513453247702,84.0
CYP,0.4,0.6986816611096086,178.0
CZE,0.4,1.9389653658212642,124.0
DEU,0.4,1.0826819111581634,156.0
DJI,0.4,3.9284051010353904,61.0
DMA,0.4,1.8698242086109975,132.0
DNK,0.4,0.4744537254105417,183.0
DOM,0.4,2.7759215796164947,94.0
DZA,0.4,2.993692260424632,89.0
ECU,0.4,3.4417274281749783,76.0
EGY,0.4,4.4080393012288335,49.0
ERI,0.4,5.403035693404469,28.0
ESP,0.4,2.423684767223656,104.0
EST,0.4,0.9361981430862286,163.0
ETH,0.4,6.350764616914766,9.0
FIN,0.4,0.5682451119827905,180.0
FJI,0.4,2.2913313992297586,109.0
FRA,0.4,0.7274711855044851,175.0
FSM,0.4,1.4601793519115271,150.0
GAB,0.4,3.501021725155246,74.0
GBR,0.4,0.966123537333008,161.0
GEO,0.4,2.154584105317717,115.0
GHA,0.4,4.632590185818535,43.0
GIN,0.4,6.025468563701969,14.0
GMB,0.4,4.093116717958815,57.0
GNB,0.4,4.939095243342113,38.0
GNQ,0.4,3.898467134600584,62.0
GRC,0.4,1.9054457492405572,128.0
GTM,0.4,4.622228288838459,44.0
GUY,0.4,2.255774329155669,111.0
HND,0.4,4.421522732089628,48.0
HRV,0.4,1.7664349916187756,139.0
HTI,0.4,4.581262189871729,46.0
HUN,0.4,0.5783858598271217,179.0
IDN,0.4,5.021171723466539,37.0
IND,0.4,6.013320485294833,15.0
IRL,0.4,0.8336436684640187,170.0
IRN,0.4,4.211601646755833,54.0
IRQ,0.4,3.845632033141273,63.0
ISL,0.4,1.011964304243514,159.0
ISR,0.4,0.8935505973346144,165.0
ITA,0.4,0.7604420038291035,172.0
JAM,0.4,2.0269084215677955,118.0
JOR,0.4,2.8728671397567567,91.0
JPN,0.4,1.5740056717413569,146.0
KAZ,0.4,2.1881231156230303,114.0
KEN,0.4,5.114663733215514,35.0
KGZ,0.4,2.278292989030462,110.0
KHM,0.4,5.946506801403464,17.0
KIR,0.4,1.773806388551904,138.0
KNA,0.4,1.6818530484293708,143.0
KOR,0.4,2.0639484915054833,116.0
KWT,0.4,3.352418442873369,79.0
LAO,0.4,5.532737631618761,24.0
LBN,0.4,2.3237874941075667,107.0
LBR,0.4,5.028254137576834,36.0
LBY,0.4,3.297744700534264,81.0
LCA,0.4,1.5061607702101327,149.0
LKA,0.4,2.7603497019410286,95.0
LSO,0.4,2.749824992262789,96.0
LTU,0.4,0.7168572696980563,176.0
LUX,0.4,0.15921274912325475,187.0
LVA,0.4,0.822775137835474,171.0
MAR,0.4,4.853993131628651,39.0
MDA,0.4,2.2016830188139322,113.0
MDG,0.4,7.758536585444045,1.0
MDV,0.4,0.7124169970526846,177.0
MEX,0.4,4.062878347589352,58.0
MHL,0.4,1.847610372505786,133.0
MKD,0.4,1.9419572315800102,123.0
MLI,0.4,5.700039586944847,20.0
MLT,0.4,0.9183483312512664,164.0
MMR,0.4,6.7827853375933005,7.0
MNE,0.4,1.7551644467166796,140.0
MNG,0.4,1.9423828185364622,122.0
MOZ,0.4,7.358112790426592,3.0
MRT,0.4,5.516292204794049,25.0
MUS,0.4,1.870538181286361,130.0
MWI,0.4,3.8138456122979183,64.0
MYS,0.4,4.02850525989076,59.0
NAM,0.4,4.32286455585545,51.0
NER,0.4,6.350432780797697,10.0
NGA,0.4,6.636716239210802,8.0
NLD,0.4,0.8681537214165524,168.0
NOR,0.4,0.3945551275087758,184.0
NPL,0.4,3.612642755378741,69.0
NRU,0.4,0.35461800461609344,185.0
NZL,0.4,1.551312962004349,148.0
OMN,0.4,3.724354250991834,65.0
PAK,0.4,7.020131622342117,5.0
PAN,0.4,2.856329133055313,92.0
PER,0.4,4.180246932456551,55.0
PHL,0.4,5.610349127358854,23.0
PNG,0.4,5.246842375015589,33.0
POL,0.4,0.974833232942631,160.0
PRK,0.4,2.588835740660793,99.0
PRT,0.4,1.1790964786804712,154.0
PRY,0.4,2.7181481474761653,97.0
PSE,0.4,1.8302536162167133,134.0
QAT,0.4,2.2200446842840384,112.0
ROU,0.4,1.784813055094358,137.0
RUS,0.4,3.152619955366511,87.0
RWA,0.4,3.0325532611041317,88.0
SAU,0.4,3.3474703763641025,80.0
SDN,0.4,7.096401471236293,4.0
SEN,0.4,4.785554113331131,40.0
SGP,0.4,1.177162634105477,155.0
SLB,0.4,3.189935457128133,85.0
SLE,0.4,5.503063791661862,26.0
SLV,0.4,3.525489966920172,72.0
SOM,0.4,7.018718213584951,6.0
SRB,0.4,1.7292674901459701,142.0
SSD,0.4,6.225196981811817,12.0
STP,0.4,1.9976284080003381,120.0
SUR,0.4,2.5280845986038996,101.0
SVK,0.4,1.0755025661165616,157.0
SVN,0.4,0.8440232376478476,169.0
SWE,0.4,0.5376269726136705,182.0
SWZ,0.4,3.2206059339525357,82.0
SYC,0.4,0.7337804416731998,174.0
SYR,0.4,3.4896114756136383,75.0
TCD,0.4,7.378080985818554,2.0
TGO,0.4,4.6409054274479535,42.0
THA,0.4,4.278163398903846,53.0
TJK,0.4,2.9135672044150347,90.0
TKM,0.4,2.4069677206062567,105.0
TLS,0.4,3.438042077463734,77.0
TON,0.4,1.4065724833335196,152.0
TTO,0.4,1.8701071580870818,131.0
TUN,0.4,2.563705220085874,100.0
TUR,0.4,3.1614156074389297,86.0
TUV,0.4,1.030633351557462,158.0
TZA,0.4,5.32822216807145,30.0
UGA,0.4,4.605737915149091,45.0
UKR,0.4,1.960754306005675,121.0
URY,0.4,1.925405462490759,126.0
USA,0.4,1.9291000695323006,125.0
UZB,0.4,3.2146330884231076,83.0
VCT,0.4,1.6690595675887137,144.0
VEN,0.4,3.7131328763653464,66.0
VNM,0.4,5.406025036167476,27.0
VUT,0.4,3.55597456749443,70.0
WSM,0.4,1.873950802999241,129.0
YEM,0.4,5.686738766020577,21.0
ZAF,0.4,4.322872809327739,50.0
ZMB,0.4,4.466850042147794,47.0
ZWE,0.4,4.763787459506874,41.0
AFG,0.5,5.887915324926768,18.0
AGO,0.5,6.067523143926221,13.0
ALB,0.5,1.7485648053391998,133.0
ARG,0.5,2.71481950830756,96.0
ARM,0.5,1.6361024258408776,135.0
AUS,0.5,1.1797425843500347,140.0
AUT,0.5,0.9388712635217858,147.0
AZE,0.5,3.365188031764474,76.0
BDI,0.5,3.965882451941944,60.0
BEL,0.5,0.7369983409715936,152.0
BEN,0.5,5.802665853811902,19.0
BFA,0.5,5.305824429071388,31.0
BGD,0.5,5.64075037632106,22.0
BGR,0.5,1.7880145482408165,129.0
BHR,0.5,2.297924527623436,104.0
BIH,0.5,2.002205391991449,115.0
BLR,0.5,0.5630565642233171,156.0
BLZ,0.5,2.8236229857225057,91.0
BOL,0.5,3.7015558364242445,66.0
BRA,0.5,3.503131181215151,71.0
BRB,0.5,1.4191669977502688,138.0
BTN,0.5,2.3441625562917565,102.0
BWA,0.5,3.6538092933621864,67.0
CAF,0.5,5.949218416832423,16.0
CHL,0.5,1.8023286934757479,128.0
CHN,0.5,5.267962988335518,32.0
