iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GEO,GEO,92,Georgia,State,coastal_flood_100yr_jrc_2024,7487.171015368727,937439.5692579546,3784213.4233360607
UZB,UZB,261,Uzbekistan,State,coastal_flood_100yr_jrc_2024,0.0,12787695.431002842,35821875.85684069
AZE,AZE,19,Azerbaijan,State,coastal_flood_100yr_jrc_2024,0.0,2747049.024153959,10305389.436339865
MNE,MNE,2647,Montenegro,State,coastal_flood_100yr_jrc_2024,1195.0898313396624,138275.7518197032,622923.7677953261
KAZ,KAZ,132,Kazakhstan,State,coastal_flood_100yr_jrc_2024,0.0,7014132.875079232,20544183.168450046
UKR,UKR,254,Ukraine,State,coastal_flood_100yr_jrc_2024,14402.593556368867,6441730.802744021,37108428.06449344
SRB,SRB,2648,Serbia,State,coastal_flood_100yr_jrc_2024,0.0,1616522.1809762565,8447238.991488868
BGR,BGR,41,Bulgaria,State,coastal_flood_100yr_jrc_2024,661.1442742648724,1180649.076379971,6741954.2780567575
MDA,MDA,165,Moldova,State,coastal_flood_100yr_jrc_2024,0.0,714907.5192525199,3053481.236112128
HRV,HRV,62,Croatia,State,coastal_flood_100yr_jrc_2024,3127.741292730352,671401.7886066568,3814352.804866864
VNM,VNM,264,Viet Nam,State,coastal_flood_100yr_jrc_2024,4640008.317656433,28054759.06497631,100239442.09206602
ROU,ROU,203,Romania,State,coastal_flood_100yr_jrc_2024,1879.109681797044,3678752.774545541,19060418.468438007
KWT,KWT,137,Kuwait,State,coastal_flood_100yr_jrc_2024,18640.61952140252,1065069.932155687,4806398.575371386
OMN,OMN,187,Oman,State,coastal_flood_100yr_jrc_2024,14125.7033671439,1456456.2483514308,5085011.080962791
BHR,BHR,21,Bahrain,State,coastal_flood_100yr_jrc_2024,7195.8128503436565,294136.04234694474,1274280.3945162487
ARE,ARE,255,United Arab Emirates,State,coastal_flood_100yr_jrc_2024,121995.28860487546,2017226.7084702775,10543474.588907082
QAT,QAT,201,Qatar,State,coastal_flood_100yr_jrc_2024,581.026848221034,525144.2110599988,3008583.4686393905
PAK,PAK,188,Pakistan,State,coastal_flood_100yr_jrc_2024,48970.55881613633,107859795.79446094,248770628.08991215
IRN,IRN,117,Iran (Islamic Republic of),State,coastal_flood_100yr_jrc_2024,223070.4357769061,24315760.858268265,90510901.1693366
IRQ,IRQ,118,Iraq,State,coastal_flood_100yr_jrc_2024,34317.838739063845,19718366.3495142,45596938.15782804
NPL,NPL,175,Nepal,State,coastal_flood_100yr_jrc_2024,0.0,10224510.71822854,29560529.350814573
BTN,BTN,31,Bhutan,State,coastal_flood_100yr_jrc_2024,0.0,208357.86893249143,789298.3287236916
LKA,LKA,231,Sri Lanka,State,coastal_flood_100yr_jrc_2024,5290.990976624191,6184168.82043986,22721976.34778995
AFG,AFG,1,Afghanistan,State,coastal_flood_100yr_jrc_2024,0.0,20936240.23302899,41994830.06975488
BGD,BGD,23,Bangladesh,State,coastal_flood_100yr_jrc_2024,4074337.9928216143,58885535.06426557,172244597.51491636
SJM,SJM,234,Svalbard and Jan Mayen Islands,Territory,coastal_flood_100yr_jrc_2024,0.0,0.0,7.739739894880897
FRO,FRO,82,Faroe Islands,Territory,coastal_flood_100yr_jrc_2024,0.0,10615.136152522731,45318.06391283055
ALA,ALA,1000,Åland Islands,Territory,coastal_flood_100yr_jrc_2024,0.0,0.0,24356.800147148235
JEY,JEY,128,Jersey,Territory,coastal_flood_100yr_jrc_2024,1087.9942780542187,18067.60178644833,97117.64018362292
SPM,SPM,210,Saint Pierre et Miquelon,Territory,coastal_flood_100yr_jrc_2024,55.66222411673516,1002.2698356302092,5160.521783569209
GGY,GGY,104,Guernsey,Territory,coastal_flood_100yr_jrc_2024,1825.4431018573523,10950.67750471385,61372.251372322986
IND,IND,115,India,State,coastal_flood_100yr_jrc_2024,442161.4959132911,429033200.029715,1423251741.70589
IMN,IMN,120,Isle of Man,Territory,coastal_flood_100yr_jrc_2024,322.5915223378688,14815.5585762533,81148.04656553558
GUM,GUM,101,Guam (USA),Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,364.2350747960736,50487.61089682401,162074.49419516211
ASM,ASM,5,American Samoa (USA),Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,14736.56941334131,43375.30869603411
NCL,NCL,178,New Caledonia,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,2727.291540242467,65810.43454747007,253993.87692264805
CYM,CYM,48,Cayman Islands,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,894.6763622630388,14226.035578423203,66843.62950955326
VIR,VIR,258,United States Virgin Islands (USA),Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,22.351624930277467,17127.11732145068,79596.85785826089
TKL,TKL,244,Tokelau,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,786.5965596395358,2452.9999413534915
BMU,BMU,30,Bermuda,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,10864.008378721916,55435.12237798182
PYF,PYF,87,French Polynesia,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,59522.1315437512,234401.43575014835
MSR,MSR,168,Montserrat,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,884.1378015468772,4043.19030483576
TCA,TCA,251,Turks and Caicos Islands,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,143.83223256096244,9016.84975392375,41729.440228630105
VGB,VGB,39,British Virgin Islands,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,7350.751071621346,35036.67130088174
AIA,AIA,9,Anguilla,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,49.980934233404696,3104.9250468027253,13037.795331621564
xKI,xRI,136,Kuril Islands,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,216.22800616017776,3437.7847435544504,15357.129547545395
GRL,GRL,98,Greenland,Self Governing Territory,coastal_flood_100yr_jrc_2024,4252.483042794163,6477.861334156774,27103.05289813479
ITA,ITA,122,Italy,State,coastal_flood_100yr_jrc_2024,55165.446647722405,8877330.152171064,58943117.40229861
KOR,KOR,202,Republic of Korea,State,coastal_flood_100yr_jrc_2024,74282.75964888095,6794531.02298312,50911450.6384239
ISL,ISL,114,Iceland,State,coastal_flood_100yr_jrc_2024,4286.370508831344,84347.2142932052,374741.9556888478
NZL,NZL,179,New Zealand,State,coastal_flood_100yr_jrc_2024,2824.3599445420923,1136877.348168047,5098976.532638796
BHS,BHS,20,Bahamas,State,coastal_flood_100yr_jrc_2024,3319.9388820235617,89251.80199643958,378927.81558878673
JPN,JPN,126,Japan,State,coastal_flood_100yr_jrc_2024,2430268.1670783963,17219079.330445986,121051429.1856766
NRU,NRU,173,Nauru,State,coastal_flood_100yr_jrc_2024,0.0,3406.779416942735,7921.69449452159
FSM,FSM,163,Micronesia (Federated States of),State,coastal_flood_100yr_jrc_2024,0.0,0.0,97941.54496192724
MHL,MHL,157,Marshall Islands,State,coastal_flood_100yr_jrc_2024,5705.774074830115,4940.814034338383,11478.30927858868
TON,TON,245,Tonga,State,coastal_flood_100yr_jrc_2024,0.0,43568.60091921578,89068.38999731428
FJI,FJI,276,Fiji,State,coastal_flood_100yr_jrc_2024,20303.329364545643,289761.7819723601,859967.3618934469
KIR,KIR,135,Kiribati,State,coastal_flood_100yr_jrc_2024,8888.115002274513,42442.23362375012,49086.04440608444
TUV,TUV,252,Tuvalu,State,coastal_flood_100yr_jrc_2024,0.0,998.5976547017752,3533.199331864501
VUT,VUT,277,Vanuatu,State,coastal_flood_100yr_jrc_2024,2663.90397823602,142229.24766507288,279996.3260511341
PRK,PRK,67,Democratic People's Republic of Korea,State,coastal_flood_100yr_jrc_2024,111471.413201952,5905029.125498954,26240557.4532485
WSM,WSM,212,Samoa,State,coastal_flood_100yr_jrc_2024,0.0,95989.66366682095,197947.25277579777
SLB,SLB,225,Solomon Islands,State,coastal_flood_100yr_jrc_2024,10774.148166269064,347056.32678090845,698114.1746712417
PNG,PNG,274,Papua New Guinea,State,coastal_flood_100yr_jrc_2024,33699.27098151678,3784556.7138175145,9664712.229215853
BLZ,BLZ,28,Belize,State,coastal_flood_100yr_jrc_2024,2799.67806281418,133069.7094601211,401366.1072143414
MNG,MNG,167,Mongolia,State,coastal_flood_100yr_jrc_2024,0.0,1285223.0779458687,3455708.699375357
VCT,VCT,211,Saint Vincent and the Grenadines,State,coastal_flood_100yr_jrc_2024,47.885636860504746,27454.8295758976,98139.14191913264
CRI,CRI,61,Costa Rica,State,coastal_flood_100yr_jrc_2024,2353.4713671029726,1190931.6569921405,5096308.190925651
GRD,GRD,99,Grenada,State,coastal_flood_100yr_jrc_2024,93.57485802844168,26648.719983237235,104366.48553840266
ATG,ATG,11,Antigua and Barbuda,State,coastal_flood_100yr_jrc_2024,298.0669524613768,20569.271483340275,89652.8596302089
DMA,DMA,289,Dominica,State,coastal_flood_100yr_jrc_2024,14.393996190279722,14420.200667460073,58267.29752087525
LCA,LCA,209,Saint Lucia,State,coastal_flood_100yr_jrc_2024,60.21370792388916,38338.36273994656,171217.2104855422
HTI,HTI,108,Haiti,State,coastal_flood_100yr_jrc_2024,7457.116952158511,4362415.70197894,11552620.71120642
DOM,DOM,72,Dominican Republic,State,coastal_flood_100yr_jrc_2024,16216.290822789071,3629113.0499981567,11264063.963632444
SUR,SUR,233,Suriname,State,coastal_flood_100yr_jrc_2024,218.4757622918696,195174.7868469686,630534.8647935134
BRB,BRB,24,Barbados,State,coastal_flood_100yr_jrc_2024,43.31977090239525,59742.54534643552,272323.4140351333
GUY,GUY,107,Guyana,State,coastal_flood_100yr_jrc_2024,16421.4180925517,281354.32972681616,806544.3934990016
PAN,PAN,191,Panama,State,coastal_flood_100yr_jrc_2024,13081.23187907756,1342373.928328629,4420205.478429331
JAM,JAM,123,Jamaica,State,coastal_flood_100yr_jrc_2024,5447.376153553836,665277.5990275983,2795829.7441987377
