iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
BEN,Benin,29,fire_frequency_nasa_2001-2023,1308430.8275164422,6896624.15516794,14286070.048997458
CAF,Central African Republic,49,fire_frequency_nasa_2001-2023,1891180.1056090395,2934123.207042857,5180632.413997505
NGA,Nigeria,182,fire_frequency_nasa_2001-2023,9387550.509114198,110642672.82595986,229602955.22762072
BRB,Barbados,24,fire_frequency_nasa_2001-2023,0.0,59724.79769552406,271879.1577990625
UGA,Uganda,253,fire_frequency_nasa_2001-2023,2047425.7409682933,25129259.06013416,49309226.20315204
RWA,Rwanda,205,fire_frequency_nasa_2001-2023,1268.6830036087947,6267135.860284382,14097780.61437473
SDN,Sudan,280,fire_frequency_nasa_2001-2023,487225.1885751349,23464053.82112306,49865907.05433004
SSD,South Sudan,287,fire_frequency_nasa_2001-2023,3147908.5439089704,5568107.865741009,11794882.362643046
SOM,Somalia,226,fire_frequency_nasa_2001-2023,29456.459395334125,9019740.484482087,17745124.38125394
ETH,Ethiopia,79,fire_frequency_nasa_2001-2023,2228037.771957782,60017167.31716954,130475844.22602253
KEN,Kenya,133,fire_frequency_nasa_2001-2023,253389.10005943663,24625532.746762585,55527033.276318535
DJI,Djibouti,70,fire_frequency_nasa_2001-2023,180.89151698350904,409716.54640383215,1119252.909654745
ERI,Eritrea,77,fire_frequency_nasa_2001-2023,2505.070916231532,1606584.5282397794,3486964.7724528024
NAM,Namibia,172,fire_frequency_nasa_2001-2023,79212.98910410433,1268276.2367407666,2949807.1605317136
COG,Congo,59,fire_frequency_nasa_2001-2023,347291.46214033285,2955038.354785084,6206506.644251352
BDI,Burundi,43,fire_frequency_nasa_2001-2023,224532.3407096916,7250336.5254463535,13877840.606541414
PER,Peru,195,fire_frequency_nasa_2001-2023,316875.59468469047,9874602.154362565,33712159.78664455
NIC,Nicaragua,180,fire_frequency_nasa_2001-2023,104388.54784985672,2382957.485014101,6844251.065995058
HTI,Haiti,108,fire_frequency_nasa_2001-2023,11244.23348220125,4369559.821722568,11561263.402586265
HND,Honduras,111,fire_frequency_nasa_2001-2023,358657.66648966307,3943858.633544406,10680596.343706677
GTM,Guatemala,103,fire_frequency_nasa_2001-2023,606851.1028192752,6957737.932168799,18248624.36506566
SLV,El Salvador,75,fire_frequency_nasa_2001-2023,154458.53644686373,1913989.8369186264,6298205.349703249
DOM,Dominican Republic,72,fire_frequency_nasa_2001-2023,40171.95533418656,3626137.5981383873,11247326.528267344
ECU,Ecuador,73,fire_frequency_nasa_2001-2023,97163.20725915224,5412110.716024817,17981500.764775794
BOL,Bolivia (Plurinational State of),33,fire_frequency_nasa_2001-2023,448643.04737616633,4394806.995631341,12311327.070721583
PSE,State of Palestine,3000,fire_frequency_nasa_2001-2023,11083.161815763542,2443377.092891145,5402734.348390189
COL,Colombia,57,fire_frequency_nasa_2001-2023,187258.7880608405,13013624.96599115,52128530.52033738
CUB,Cuba,279,fire_frequency_nasa_2001-2023,95832.9622460661,2038204.995428952,10901386.021685028
VEN,Venezuela,263,fire_frequency_nasa_2001-2023,1275558.4450895174,8674824.962246258,27788241.581764527
