iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
CMR,CMR,45,Cameroon,State,drought_spei_copernicus_1940-2024,13430130.182123229,13805317.027192364,28730853.387374736
CPV,CPV,47,Cape Verde,State,drought_spei_copernicus_1940-2024,0.0,164827.75995643815,501385.47753986326
MLI,MLI,155,Mali,State,drought_spei_copernicus_1940-2024,115624.82523790514,12888878.85697908,24131568.3998254
GNB,GNB,105,Guinea-Bissau,State,drought_spei_copernicus_1940-2024,742.6690304199855,987242.7783076444,2153080.7494400544
MRT,MRT,159,Mauritania,State,drought_spei_copernicus_1940-2024,59150.84741184557,2509836.371586769,5054278.817796941
LBR,LBR,144,Liberia,State,drought_spei_copernicus_1940-2024,2307536.753969313,2592556.2565637743,5456162.01303268
SEN,SEN,278,Senegal,State,drought_spei_copernicus_1940-2024,533571.5073603239,8272207.755110648,18117367.862522725
BFA,BFA,42,Burkina Faso,State,drought_spei_copernicus_1940-2024,18394.0309510082,11452998.510190822,23295771.853971068
CIV,CIV,66,Côte d'Ivoire,State,drought_spei_copernicus_1940-2024,8668259.917708913,15023786.89711138,31498460.333327264
COG,COG,59,Congo,State,drought_spei_copernicus_1940-2024,2365587.6566314856,2954338.473768201,6215403.9365353
GAB,GAB,89,Gabon,State,drought_spei_copernicus_1940-2024,597358.4247406385,1027726.1765308188,2446619.770895445
BEN,BEN,29,Benin,State,drought_spei_copernicus_1940-2024,3540902.754489431,6901106.326111015,14303355.685126474
GHA,GHA,94,Ghana,State,drought_spei_copernicus_1940-2024,6483348.84852828,14409017.928483414,34006944.05067461
IDN,IDN,272,Indonesia,State,drought_spei_copernicus_1940-2024,74556953.12095128,81524741.71361357,274772145.5402546
CXR,CXR,54,Christmas Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,811.3838603116517
CCK,CCK,56,Cocos (Keeling) Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0
MYT,MYT,161,Mayotte,Territory,drought_spei_copernicus_1940-2024,133948.6835028629,147634.14469493,277282.4937516196
NGA,NGA,182,Nigeria,State,drought_spei_copernicus_1940-2024,85849720.58230488,110644735.87661284,229590634.90543824
TCD,TCD,50,Chad,State,drought_spei_copernicus_1940-2024,7940674.538318157,10561736.399399374,19888346.06861138
COD,COD,68,Democratic Republic of the Congo,State,drought_spei_copernicus_1940-2024,11430701.552632287,56381060.83611682,107219316.18813866
REU,REU,206,Réunion,Territory,drought_spei_copernicus_1940-2024,0.0,224537.72307396837,852714.9809319193
xFR,xFR,1013,Glorioso Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0
xSR,xSR,216,Scarborough Reef,Sovereignty unsettled,drought_spei_copernicus_1940-2024,0.0,0.0,0.0
xUK,xUK,1015,Akrotiri,Territory,drought_spei_copernicus_1940-2024,0.0,3439.753306853785,22690.938010521924
IOT,IOT,38,Chagos Archipelagio,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0
xSK,xSK,218,Senkaku Islands,Sovereignty unsettled,drought_spei_copernicus_1940-2024,0.0,0.0,0.0
xJK,xJK,285,Jammu and Kashmir,Sovereignty unsettled,drought_spei_copernicus_1940-2024,2176301.9255491886,4724840.357535147,14458474.533882707
xSI,xSI,230,Spratly Islands,Sovereignty unsettled,drought_spei_copernicus_1940-2024,0.0,0.0,0.0
xPI,xPI,193,Paracel Islands,Sovereignty unsettled,drought_spei_copernicus_1940-2024,0.0,86.26219733395412,419.141173358992
xAP,xAP,15,Arunachal Pradesh,Sovereignty unsettled,drought_spei_copernicus_1940-2024,23487.349803029352,316070.92749032844,978825.6229220572
xxx,xxx,52,China/India,Sovereignty unsettled,drought_spei_copernicus_1940-2024,0.0,732.2037546315175,1583.0022750562512
xAC,xAC,2,Aksai Chin,Sovereignty unsettled,drought_spei_copernicus_1940-2024,3077.6021801120078,3438.9183999950105,13407.303098457278
LUX,LUX,148,Luxembourg,State,drought_spei_copernicus_1940-2024,125880.92999996606,125880.92999996606,665488.9159145015
BEL,BEL,27,Belgium,State,drought_spei_copernicus_1940-2024,2097530.4053903176,2300217.4732490163,11735678.526262924
HKG,HKG,281,Hong Kong,Special Region or Province,drought_spei_copernicus_1940-2024,809855.3989087557,809855.4847836299,6416595.8426142605
MAC,MAC,149,Macao,Special Region or Province,drought_spei_copernicus_1940-2024,106444.16538303928,106444.16538303928,588561.0491349165
