iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
CHL,51,Chile,State,drought_spi_copernicus_1940-2024,1543479.254853292,4013981.81805903,19256100.464150906
CHN,53,China,State,drought_spi_copernicus_1940-2024,60811221.254418485,279052029.1044772,1408196081.6632087
CIV,66,Côte d'Ivoire,State,drought_spi_copernicus_1940-2024,8957626.751849705,15023795.128891729,31498581.02338414
CMR,45,Cameroon,State,drought_spi_copernicus_1940-2024,12669007.922776075,13770790.33555219,28665192.916732945
COG,59,Congo,State,drought_spi_copernicus_1940-2024,2318496.487331698,2955038.354785083,6206506.644251352
COM,58,Comoros,State,drought_spi_copernicus_1940-2024,0.0,371458.19433222926,799634.3457163497
COD,68,Democratic Republic of the Congo,State,drought_spi_copernicus_1940-2024,9211429.673457688,56518034.82409517,107520679.36553958
CPV,47,Cape Verde,State,drought_spi_copernicus_1940-2024,0.0,164769.3002462379,500529.7018722176
COL,57,Colombia,State,drought_spi_copernicus_1940-2024,1249434.708230141,13013575.106477208,52128715.14884685
CYP,64,Cyprus,State,drought_spi_copernicus_1940-2024,0.0,253506.5784821285,1306885.8992871277
CRI,61,Costa Rica,State,drought_spi_copernicus_1940-2024,51309.974143004336,1191440.431202106,5097139.791024169
CZE,65,Czechia,State,drought_spi_copernicus_1940-2024,2026392.149701571,2026392.149701571,10797115.170909977
CUB,279,Cuba,State,drought_spi_copernicus_1940-2024,620569.0826910575,2038204.995428952,10901386.021685028
DJI,70,Djibouti,State,drought_spi_copernicus_1940-2024,0.0,409779.4402882336,1121101.3562784237
DEU,93,Germany,State,drought_spi_copernicus_1940-2024,11618393.239842815,14040926.585459478,84390700.88974392
DMA,289,Dominica,State,drought_spi_copernicus_1940-2024,0.0,14440.4033222003,58363.58971034234
DNK,69,Denmark,State,drought_spi_copernicus_1940-2024,961279.1179344445,1128654.178546772,5805348.825645145
DOM,72,Dominican Republic,State,drought_spi_copernicus_1940-2024,0.0,3626137.5981383873,11247326.528267344
ECU,73,Ecuador,State,drought_spi_copernicus_1940-2024,3366361.883028504,5412111.231325219,17981501.774913546
