ucode,max,mean,median,min
AFG_0028_0007_V1,0.0,0.0,0.0,0.0
AFG_0028_0001_V1,0.0,0.0,0.0,0.0
AFG_0028_0005_V1,0.0,0.0,0.0,0.0
AFG_0028_0002_V1,0.0,0.0,0.0,0.0
AFG_0028_0004_V1,0.0,0.0,0.0,0.0
AFG_0028_0006_V1,0.0,0.0,0.0,0.0
AFG_0029_0008_V1,0.0,0.0,0.0,0.0
AFG_0029_0001_V1,0.0,0.0,0.0,0.0
AFG_0029_0004_V1,0.0,0.0,0.0,0.0
AFG_0029_0007_V1,0.0,0.0,0.0,0.0
AFG_0029_0002_V1,0.0,0.0,0.0,0.0
AFG_0029_0009_V1,0.0,0.0,0.0,0.0
AFG_0029_0006_V1,0.0,0.0,0.0,0.0
AFG_0029_0010_V1,0.0,0.0,0.0,0.0
AFG_0029_0005_V1,0.0,0.0,0.0,0.0
AFG_0029_0003_V1,0.0,0.0,0.0,0.0
AFG_0030_0003_V1,0.0,0.0,0.0,0.0
AFG_0030_0004_V1,0.0,0.0,0.0,0.0
AFG_0030_0007_V1,0.0,0.0,0.0,0.0
AFG_0030_0006_V1,0.0,0.0,0.0,0.0
AFG_0030_0005_V1,0.0,0.0,0.0,0.0
AFG_0030_0002_V1,0.0,0.0,0.0,0.0
AFG_0030_0001_V1,0.0,0.0,0.0,0.0
AFG_0031_0001_V1,0.0,0.0,0.0,0.0
AFG_0031_0003_V1,0.0,0.0,0.0,0.0
AFG_0031_0004_V1,0.0,0.0,0.0,0.0
AFG_0031_0002_V1,0.0,0.0,0.0,0.0
AFG_0031_0007_V1,0.0,0.0,0.0,0.0
AFG_0031_0006_V1,0.0,0.0,0.0,0.0
AFG_0031_0005_V1,0.0,0.0,0.0,0.0
AFG_0032_0009_V1,0.0,0.0,0.0,0.0
AFG_0032_0016_V1,0.0,0.0,0.0,0.0
AFG_0032_0004_V1,0.0,0.0,0.0,0.0
AFG_0032_0015_V1,0.0,0.0,0.0,0.0
AFG_0032_0005_V1,0.0,0.0,0.0,0.0
AFG_0032_0008_V1,0.0,0.0,0.0,0.0
AFG_0032_0007_V1,0.0,0.0,0.0,0.0
AFG_0032_0002_V1,0.0,0.0,0.0,0.0
AFG_0032_0011_V1,0.0,0.0,0.0,0.0
AFG_0032_0013_V1,0.0,0.0,0.0,0.0
AFG_0032_0001_V1,0.0,0.0,0.0,0.0
AFG_0032_0017_V1,0.0,0.0,0.0,0.0
AFG_0032_0012_V1,0.0,0.0,0.0,0.0
AFG_0032_0014_V1,0.0,0.0,0.0,0.0
AFG_0032_0003_V1,0.0,0.0,0.0,0.0
AFG_0032_0006_V1,0.0,0.0,0.0,0.0
AFG_0032_0010_V1,0.0,0.0,0.0,0.0
AFG_0033_0001_V1,0.0,0.0,0.0,0.0
AFG_0033_0005_V1,0.0,0.0,0.0,0.0
AFG_0033_0007_V1,0.0,0.0,0.0,0.0
AFG_0033_0006_V1,0.0,0.0,0.0,0.0
